Player,Pos1,Pos2,Age,Tm,G,MP,PER,TS,3PAr,FTr,ORB,DRB,TRB,AST,STL,BLK,TOV,USG,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,VORP,Salary
Talen Horton-Tucker,SG,,21,LAL,60,1511,11,0.503,0.338,0.232,2.6,11.1,6.9,14.9,1.9,1.7,12.1,19.2,-0.2,1.2,1.1,0.033,-3.2,-0.2,-3.3,-0.5,10260000 
Danuel House Jr.,SF,,28,TOT,42,727,10.6,0.555,0.591,0.293,2.8,13.8,8.4,8.4,1.4,2.1,12.9,15.2,0.4,0.7,1,0.068,-1.3,0.2,-1.1,0.2,4105000 
Kevin Huerter,SF,,23,ATL,74,2188,11.9,0.57,0.541,0.068,1.6,11,6.4,13.2,1.2,1.1,10.4,17.5,1.8,1,2.8,0.062,-0.5,-0.7,-1.2,0.4,14508929 
Jay Huff,C,,23,LAL,4,20,0.6,0,0.667,0,5.4,16.1,10.8,5.9,2.4,4.5,25,8.6,-0.1,0,0,-0.117,-8.3,0.9,-7.4,0,1637966 
De'Andre Hunter,SF,,24,ATL,53,1577,10.6,0.547,0.339,0.289,1.8,10.4,6.1,6.1,1.1,1.2,9.6,19.9,0.4,0.7,1.1,0.034,-2.4,-1.5,-3.9,-0.8,9835881 
Bones Hyland,SG,,21,DEN,69,1310,14.4,0.558,0.627,0.219,1.2,14.4,8,21.2,1.5,1.4,12.1,23.8,1.1,1.3,2.4,0.088,0.3,-0.7,-0.4,0.5,2201520 
Serge Ibaka,C,,32,TOT,54,877,14.4,0.579,0.334,0.149,7.7,22.2,15.1,8.4,0.6,3.3,12,17.8,0.8,1.1,2,0.108,-1.3,-0.2,-1.5,0.1,1836090 
Andre Iguodala,SF,,38,GSW,31,603,12.3,0.478,0.612,0.165,3.9,13.9,9.1,24.7,2.2,3.5,17.7,11.4,0.5,1.1,1.6,0.125,-0.9,3.7,2.7,0.7,1836090 
Joe Ingles,SF,,34,UTA,45,1122,10,0.551,0.789,0.077,1.2,11.2,6.4,19,1,0.4,13.5,13.2,1.3,0.9,2.2,0.094,-0.7,0.5,-0.3,0.5,6479000 
Brandon Ingram,SF,,24,NOP,55,1869,18.7,0.554,0.23,0.328,2,17.3,9.5,27.8,0.9,1.3,11.8,29.3,2.5,1.3,3.9,0.099,2.6,-0.6,2,1.9,31650600 
Kyrie Irving,PG,,29,BRK,29,1091,21.4,0.592,0.388,0.209,1.6,10.8,6.3,25.2,1.8,1.4,9.8,29.4,2.4,0.9,3.3,0.147,4.2,-1.2,3,1.4,38917057 
Isaiah Jackson,C,,20,IND,36,541,20.5,0.607,0.078,0.427,12.2,18.7,15.4,2.9,2.3,8.4,14,22.5,0.7,0.7,1.4,0.126,-1.6,0.1,-1.5,0.1,2573760 
Jaren Jackson Jr.,PF,,22,MEM,78,2126,17,0.535,0.387,0.333,5.7,16.9,11.2,5.8,1.6,7.4,9.9,25.4,1.7,3.7,5.4,0.121,-0.9,0.8,-0.1,1,28946605 
Justin Jackson,SF,,26,TOT,7,37,7.7,0.472,0.6,0.133,3,16.9,10.1,7.1,0,0,5.9,19.7,0,0,0,0.032,-2.2,-1.1,-3.3,0,1836090 
Reggie Jackson,SG,,31,LAC,75,2337,12.1,0.488,0.419,0.133,1.8,10.2,6.1,24.6,1.2,0.5,11.8,27.6,-1.7,2,0.4,0.008,-1.4,-1.6,-3,-0.6,11795633 
LeBron James,C,,37,LAL,56,2084,26.2,0.619,0.367,0.275,3.3,20.4,11.8,30.6,1.7,2.5,12.5,32.3,5.2,2.3,7.5,0.172,6.9,0.8,7.7,5.1,44474988 
Ty Jerome,SG,,24,OKC,48,801,11.3,0.488,0.567,0.143,2.4,7.7,5,21.3,1.8,0.6,9.6,20.8,0,0.5,0.5,0.032,-2.2,-0.2,-2.3,-0.1,4220057 
Isaiah Joe,SG,,22,PHI,55,609,7.7,0.519,0.763,0.175,1.1,9,5.1,8.1,1.1,0.4,9.1,15.5,0,0.4,0.4,0.035,-3.1,-1.5,-4.6,-0.4,1836090 
Cameron Johnson,PF,,25,PHO,66,1730,15.2,0.625,0.644,0.188,2.7,14,8.5,7.7,1.6,0.8,6.7,17.5,3.2,2.4,5.6,0.156,2,0.7,2.7,2.1,5887899 
Jalen Johnson,PF,,20,ATL,22,120,11.3,0.59,0.317,0.171,1.8,21.8,11.9,3.7,1.2,1.5,17,19.3,-0.1,0.1,0,0.013,-3.9,-1.1,-4.9,-0.1,2792640 
James Johnson,PF,,34,BRK,62,1191,10.3,0.513,0.277,0.179,4.8,14.6,9.8,14.5,1.2,2.6,12.7,13.7,0.6,1.1,1.7,0.068,-2.7,0.6,-2.2,-0.1,2427016 
Keldon Johnson,SF,,22,SAS,75,2392,15.2,0.574,0.395,0.231,3.5,16.7,10,9.5,1.2,0.5,7.6,21.3,2.9,2,4.9,0.098,0.7,-1.2,-0.5,0.9,3873025 
Keon Johnson,SG,,19,TOT,37,697,8.7,0.453,0.368,0.188,3.7,9.1,6.3,16.3,2,1.7,13.5,21.2,-0.8,0.4,-0.5,-0.031,-4,-2,-5.9,-0.7,2681040 
Stanley Johnson,PF,,25,LAL,48,1094,10.5,0.564,0.418,0.295,3.4,11.9,7.6,9.8,1.9,1.1,11,12.5,0.9,0.9,1.8,0.079,-2.8,0.1,-2.7,-0.2,3596685 
Nikola Jokić,C,,26,DEN,74,2476,32.8,0.661,0.22,0.357,9.6,35.5,23,42.6,2.2,2.3,15.6,31.9,10.8,4.5,15.2,0.296,9.2,4.5,13.7,9.8,33047803 
Damian Jones,C,,26,SAC,56,1017,18.3,0.701,0.109,0.492,7.9,18.5,13.2,10.2,1.2,4,15.4,16.2,2.4,0.9,3.3,0.156,-0.2,0.5,0.3,0.6,2298385 
Derrick Jones Jr.,PF,,24,CHI,51,899,13,0.633,0.313,0.359,7.6,13.6,10.6,4.4,1.4,3.2,11.7,12.5,1.4,0.8,2.2,0.119,-1.5,0.5,-0.9,0.2,3200000 
Herbert Jones,PF,,23,NOP,78,2335,12.3,0.573,0.293,0.283,4.5,9.6,7,10,2.7,2.5,13.4,13.7,2.1,2.5,4.6,0.096,-2,1.5,-0.5,0.9,1785000 
Kai Jones,C,,21,CHO,21,63,9.2,0.628,0.143,0.571,5,13.7,9.2,8.6,0.8,3,25.5,15.9,0,0,0,0.009,-5.2,-1.4,-6.6,-0.1,2909040 
Tre Jones,PG,,22,SAS,69,1148,15,0.545,0.15,0.268,2.6,11.6,7.1,27,1.8,0.5,10.8,15.6,1.9,0.9,2.9,0.121,-0.9,0.4,-0.5,0.4,1782621 
Tyus Jones,PG,,25,MEM,73,1549,16.5,0.544,0.371,0.12,1.1,11,5.9,28.2,2,0.1,7.3,16.6,3.4,1.6,5.1,0.158,1.2,0.5,1.7,1.4,15000000 
DeAndre Jordan,C,,33,TOT,48,622,17.2,0.641,0,0.28,14.7,31.4,23.1,4.9,0.9,5,18.7,13.9,0.9,1,1.9,0.145,-1.5,0.1,-1.4,0.1,9663997 
Cory Joseph,PG,,30,DET,65,1600,11.4,0.579,0.393,0.283,1.9,10.3,5.9,21.8,1.3,1,15.9,14.3,1.7,0.8,2.5,0.075,-2,-0.1,-2.1,0,5155500 
Frank Kaminsky,C,,28,PHO,9,181,21.3,0.635,0.227,0.303,6.7,17.3,12.1,10.1,2.1,3.4,6.3,19,0.5,0.3,0.9,0.228,2.4,2.5,4.9,0.3,1836090 
Luke Kennard,SG,,25,LAC,70,1919,13.3,0.619,0.662,0.121,1.1,11.2,6.3,11.2,1.1,0.3,8.2,16.8,2.8,1.7,4.5,0.113,0.8,-0.3,0.5,1.2,14415545 
Corey Kispert,SF,,22,WAS,77,1801,10.9,0.586,0.623,0.121,3.3,9.4,6.4,6.7,1,1,8.5,14.6,1.6,0.7,2.3,0.061,-0.8,-1.5,-2.3,-0.1,3552840 
Maxi Kleber,PF,,30,DAL,59,1450,11,0.537,0.72,0.184,5.4,21.5,13.4,6.5,1,3.6,10.9,13.3,0.7,2.3,3,0.098,-1.6,1.2,-0.4,0.6,9000000 
Nathan Knight,PF,,24,MIN,37,267,18.7,0.603,0.148,0.682,12.5,21.8,17.1,11.9,1.2,2.9,13.6,20.7,0.6,0.3,1,0.171,-0.7,0.1,-0.6,0.1,1836090 
Kevin Knox,SF,,22,TOT,30,222,10.9,0.491,0.635,0.259,6.8,14.8,10.7,6.5,0.9,0.8,6.9,20,0.1,0.2,0.2,0.047,-1.9,-2.2,-4.1,-0.1,3000000 
John Konchar,SG,,25,MEM,72,1292,14,0.615,0.481,0.187,6.9,20.1,13.3,10.6,1.7,1.5,9.3,9.9,2.4,1.8,4.2,0.155,0.2,1.3,1.5,1.2,2300000 
Furkan Korkmaz,SG,,24,PHI,67,1414,10.2,0.502,0.566,0.179,1.8,11.9,6.9,13.1,1.2,0.6,8.6,17.6,0.1,1.1,1.2,0.041,-2,-1.1,-3.1,-0.4,5000000 
Luke Kornet,C,,26,TOT,15,103,16.6,0.506,0.185,0.222,14,16.4,15.2,12.4,1.4,2.6,0,12.7,0.2,0.2,0.4,0.194,-0.9,0.4,-0.5,0,2133278 
Vit Krejci,SG,,21,OKC,30,690,8.5,0.529,0.587,0.132,2.6,12.6,7.5,11.9,1.3,1.1,14.1,12.9,0.1,0.5,0.6,0.042,-4.3,-1,-5.3,-0.6,1563518 
Jonathan Kuminga,SF,,19,GSW,70,1185,15.2,0.6,0.324,0.413,5.1,16.1,10.8,8.4,1.3,1.8,12,22.7,1.3,1.8,3,0.123,-1.3,-0.2,-1.5,0.1,5739840 
Kyle Kuzma,PF,,26,WAS,66,2204,15.2,0.547,0.401,0.234,3.6,24.3,14.1,16.3,0.9,2.2,14.1,24.2,0,2,2,0.044,0.2,-0.4,-0.2,1,13000000 
Anthony Lamb,SF,,24,SAS,2,8,-0.5,0,1,0,0,13.2,6.6,27.9,0,0,0,10.6,0,0,0,-0.138,-6.2,-1.8,-8,0,253254 
Jock Landale,C,,26,SAS,54,589,16,0.597,0.436,0.201,11.1,13.5,12.3,10.6,0.8,2,12.3,18.1,1,0.4,1.5,0.121,0.7,-1.1,-0.4,0.2,1563518 
Romeo Langford,SG,,22,TOT,48,771,9.2,0.52,0.445,0.22,4.3,10.7,7.6,3.7,1.4,1.9,7.1,12.9,0.3,1,1.3,0.082,-2.3,1,-1.4,0.1,5634257 
Zach LaVine,SG,,26,CHI,67,2328,20,0.605,0.401,0.316,1.1,13.8,7.4,20.8,0.9,0.9,11.2,28.8,4.5,1.3,5.8,0.12,3.9,-1.5,2.4,2.6,37096500 
Jake Layman,SF,,27,MIN,34,231,9,0.5,0.479,0.247,2.7,14.3,8.4,5.3,1.4,2.1,11,16.4,-0.1,0.2,0.1,0.024,-3.3,-0.6,-3.9,-0.1,1836090 
Damion Lee,SG,,29,GSW,63,1256,10.9,0.561,0.488,0.196,2.4,14.9,8.8,7.1,1.5,0.5,8.4,15.8,0.9,1.8,2.7,0.102,-2.4,0.4,-2,0,1836090 
Saben Lee,PG,,22,DET,37,604,13.8,0.499,0.339,0.401,3.1,13,7.8,26.2,2.9,1.8,14.7,17.3,0.3,0.7,0.9,0.073,-1.9,1.5,-0.4,0.2,1752638 
Alex Len,C,,28,SAC,39,620,13.1,0.577,0.119,0.358,9,19.3,14.1,10.6,1,3.5,17.4,17.1,0.4,0.5,0.9,0.07,-3.2,0.3,-2.9,-0.1,3918600 
Caris LeVert,SG,,27,TOT,58,1781,15.1,0.525,0.3,0.226,2.7,10.7,6.7,22,1.4,1.1,10.3,25.4,1.2,1,2.2,0.059,0,-1.2,-1.2,0.4,18796296 
Kira Lewis Jr.,PG,,20,NOP,24,341,9.8,0.466,0.397,0.082,2.9,10,6.3,21.7,1.6,0.3,14.7,22.3,-0.3,0.2,-0.1,-0.017,-2.8,-1.2,-4,-0.2,4004280 
Damian Lillard,PG,,31,POR,29,1056,18.5,0.55,0.514,0.328,1.3,11.6,6.2,34,0.8,1,11.6,29.3,1.7,0.1,1.7,0.079,4,-2.7,1.3,0.9,42492492 
Nassir Little,SF,,21,POR,42,1088,13.5,0.575,0.489,0.298,5.7,18.7,11.9,7.4,1.1,3.3,10.1,15.8,1.2,0.6,1.7,0.076,-0.9,-0.6,-1.4,0.2,4171548 
Isaiah Livers,SF,,23,DET,19,383,11.1,0.629,0.711,0.156,4,12.5,8,8,1.7,1.6,13.5,12.4,0.4,0.3,0.7,0.085,-1.3,-0.2,-1.5,0,1563518 
Kevon Looney,C,,25,GSW,82,1732,15.7,0.586,0.003,0.343,13.5,23.8,18.8,13.2,1.4,2.9,13.8,12.2,3.5,3.2,6.8,0.187,-0.9,1.7,0.9,1.3,8000000 
Brook Lopez,C,,33,MIL,13,298,16,0.57,0.405,0.176,6.9,11.9,9.4,3,1.3,4.8,7.8,21.9,0.3,0.3,0.7,0.108,-0.7,-0.7,-1.3,0.1,13906976 
Robin Lopez,C,,33,ORL,36,612,13.7,0.57,0.03,0.271,11.7,10,10.9,14.4,0.2,2.7,16.5,18.9,0.5,0.3,0.8,0.064,-2.4,-1.4,-3.8,-0.3,1836090 
Didi Louzada,SG,SF,22,TOT,9,129,6.4,0.517,0.697,0.061,4.1,10.6,7.2,5.3,0.8,1.5,12.9,13,0,0,0,-0.005,-4.1,-3.4,-7.5,-0.2,268032 
Kevin Love,C,,33,CLE,74,1665,19.6,0.594,0.627,0.26,5.9,29.2,17.8,15.3,0.8,1,10.4,25.1,3.2,2.5,5.7,0.164,4.4,0.1,4.5,2.7,32056968 
Kyle Lowry,PG,,35,MIA,63,2133,15,0.6,0.609,0.278,1.8,13,7.5,32.3,1.6,0.8,19.3,18.2,3.7,2.7,6.4,0.143,1.1,0.8,2,2.1,28333334 
Timothé Luwawu-Cabarrot,SF,,26,ATL,52,685,9.3,0.556,0.656,0.22,2.7,10.3,6.6,7.7,1.3,0.8,8.9,14.3,0.6,0.3,0.9,0.061,-2.3,-1,-3.3,-0.2,1836090 
Trey Lyles,PF,,26,TOT,75,1537,16.4,0.588,0.372,0.432,6,21.2,13.4,9,0.9,1.9,9.8,20.7,2.4,1.2,3.5,0.111,0.5,-0.8,-0.3,0.7,2625000 
Théo Maledon,PG,,20,OKC,51,908,10.6,0.5,0.473,0.315,2.2,12.8,7.4,18.5,1.7,1.1,15.3,20.3,-0.5,0.8,0.3,0.015,-3.7,-0.7,-4.4,-0.6,1900000 
Sandro Mamukelashvili,PF,,22,MIL,41,407,14.7,0.618,0.452,0.191,9.3,12,10.7,7.4,1.1,2.1,10.7,14.6,0.8,0.3,1.1,0.135,0.6,-1,-0.3,0.2,357717 
Terance Mann,SF,,25,LAC,81,2317,13.4,0.572,0.301,0.238,4.9,14.3,9.7,13.1,1.2,0.8,9.9,16,3.1,2.4,5.5,0.113,-0.8,0.2,-0.6,0.8,1930681 
Tre Mann,PG,,20,OKC,60,1367,10.2,0.501,0.463,0.139,1.9,11.2,6.4,10.7,1.7,0.8,10.2,22,-1,1,0.1,0.002,-3.3,-1.1,-4.4,-0.8,3046200 
Boban Marjanović,C,,33,DAL,23,128,18.5,0.615,0.057,0.314,6.9,27,16.9,4.8,0,2.1,15.8,33.3,-0.1,0.2,0.1,0.045,-3.2,-1.2,-4.4,-0.1,4101478 
Lauri Markkanen,SF,,24,CLE,61,1878,14.7,0.582,0.541,0.226,3.5,16.5,10.2,6.6,1.2,1.4,6.5,19.5,2.7,2.3,5,0.127,0.4,-0.1,0.4,1.1,16475454 
Naji Marshall,SF,,24,NOP,55,735,12.3,0.505,0.39,0.346,5.6,16,10.7,12.3,2.2,1,12.9,20.8,0,0.7,0.8,0.05,-2.7,-0.5,-3.2,-0.2,1782621 
Caleb Martin,SF,,26,MIA,60,1372,14.8,0.611,0.378,0.227,5.9,13,9.5,7,2.1,2.3,10.3,16.3,1.9,2.1,4,0.139,0.1,0.9,1.1,1.1,6479000 
Cody Martin,SF,,26,CHO,71,1866,12.7,0.579,0.376,0.253,4.6,11.7,8.1,12.4,2.3,1.6,11.5,12.1,2.4,1.5,3.9,0.101,-1.2,0.7,-0.5,0.7,7000000 
Kelan Martin,SF,,26,TOT,30,450,9.4,0.484,0.439,0.076,4.1,9.6,6.8,6.7,1.4,1.7,7.3,18.1,-0.1,0.2,0,0.005,-2.6,-1,-3.6,-0.2,1836090 
Kenyon Martin Jr.,SF,,21,HOU,79,1656,14.3,0.603,0.321,0.235,5.3,14.5,9.9,9.4,1,2.2,9.4,16.3,2.3,0.6,2.9,0.084,0,-1.2,-1.2,0.4,1782621 
Garrison Mathews,SG,,25,HOU,65,1712,11,0.602,0.837,0.39,2,10.2,6.1,5.3,1.6,1.3,7.1,14.4,2.2,0.5,2.8,0.078,-1.3,-1,-2.3,-0.1,2000000 
Dakota Mathias,SG,,26,MEM,6,16,11,0.5,1,0,0,13.4,6.5,8,3,0,0,15.4,0,0,0,0.114,-1.4,1.7,0.3,0,1836090 
Wesley Matthews,SG,,35,MIL,49,1002,6.9,0.536,0.714,0.127,3.2,6.4,4.9,4.6,1.1,0.8,7.2,10.7,0.6,0.6,1.2,0.056,-3,-0.3,-3.3,-0.3,1836090 
Tyrese Maxey,PG,,21,PHI,75,2650,16.2,0.594,0.311,0.247,1.1,8.9,5.1,19.1,1,1.1,7.4,20.2,5.4,1.9,7.3,0.132,1.3,-0.7,0.6,1.8,2726880 
Skylar Mays,SG,,24,ATL,28,220,11.7,0.589,0.391,0.141,2.5,9.9,6.2,10.8,1.6,0,12.8,15.5,0.2,0.1,0.3,0.061,-1.2,-0.8,-2,0,1836090 
Miles McBride,PG,,21,NYK,40,372,6.1,0.393,0.63,0.111,1.1,11.2,6.1,15.9,1.9,0.3,4.2,13.9,-0.1,0.4,0.2,0.032,-5.5,1,-4.5,-0.2,1563518 
Mac McClung,SG,PG,23,TOT,2,25,5.2,0.621,0.5,0.167,0,12.9,6.5,5.2,1.9,3.6,31.8,16.3,0,0,0,-0.043,-8.4,-1.2,-9.6,0,1637966 
CJ McCollum,SG,,30,TOT,62,2145,18.3,0.553,0.403,0.146,2.6,11.5,6.9,26.1,1.6,1,9.3,27.5,2.6,1,3.6,0.081,3.2,-1.3,1.9,2.1,33333333 
T.J. McConnell,PG,,29,IND,27,652,15.1,0.525,0.159,0.111,3.4,12.2,7.7,28.7,2.2,1.3,11.7,16.2,1,0.4,1.3,0.098,-0.4,1.4,0.9,0.5,8100000 
Jaden McDaniels,PF,,21,MIN,70,1803,10.3,0.553,0.455,0.128,4.4,13.2,8.7,6.1,1.4,2.9,11.4,15.3,0.7,1.7,2.4,0.065,-2.9,-0.1,-2.9,-0.4,2161440 
Jalen McDaniels,SF,,24,CHO,55,895,12.7,0.595,0.425,0.283,4.3,16,10.1,8.7,1.4,2.3,11.2,15.3,1,0.7,1.7,0.093,-1.9,-0.4,-2.3,-0.1,1930681 
Doug McDermott,PF,,30,SAS,51,1223,11.4,0.593,0.551,0.11,1.5,8.4,4.9,7.3,0.5,0.4,8.1,18.3,1.1,0.5,1.6,0.062,-0.4,-2.1,-2.5,-0.1,13750000 
JaVale McGee,C,,34,PHO,74,1172,22.6,0.651,0.02,0.319,15.3,29.7,22.7,5.4,0.9,6.1,15.8,22.8,2.4,2.6,4.9,0.201,-0.1,0.9,0.8,0.8,5461219 
Rodney McGruder,SG,,30,DET,51,754,11.6,0.577,0.649,0.116,4.2,12.1,8,9.6,1.4,0.8,9.2,14.8,0.7,0.4,1.2,0.075,-0.7,-0.7,-1.4,0.1,1836090 